location,date,vaccine,total_vaccinations,daily_vaccinations,iso3code
Argentina,2021-06-20,Sputnik V,8848803,20966,ARG
Chile,2021-06-20,Oxford/AstraZeneca,376491,10,CHL
Chile,2021-06-20,Pfizer/BioNTech,4033644,1231,CHL
Chile,2021-06-20,Sinovac,16897422,2706,CHL
Czechia,2021-06-20,Johnson&Johnson,79544,40,CZE
Czechia,2021-06-20,Moderna,637806,1309,CZE
Czechia,2021-06-20,Oxford/AstraZeneca,685272,129,CZE
Czechia,2021-06-20,Pfizer/BioNTech,5907576,39780,CZE
Czechia,2021-06-20,Sinovac,42,3,CZE
Ecuador,2021-06-20,Oxford/AstraZeneca,908517,9225,ECU
Ecuador,2021-06-20,Pfizer/BioNTech,1629447,1796,ECU
Ecuador,2021-06-20,Sinovac,1627294,5904,ECU
France,2021-06-20,Johnson&Johnson,514550,828,FRA
France,2021-06-20,Moderna,4465667,13816,FRA
France,2021-06-20,Oxford/AstraZeneca,6378253,3408,FRA
France,2021-06-20,Pfizer/BioNTech,37806944,158930,FRA
Germany,2021-06-20,Johnson&Johnson,1758726,11099,DEU
Germany,2021-06-20,Moderna,5681061,71308,DEU
Germany,2021-06-20,Oxford/AstraZeneca,10640938,30380,DEU
Germany,2021-06-20,Pfizer/BioNTech,50063054,165793,DEU
Hong Kong,2021-06-20,Pfizer/BioNTech,1849499,25467,HKG
Hong Kong,2021-06-20,Sinovac,1371147,12452,HKG
Italy,2021-06-20,Johnson&Johnson,1197549,2561,ITA
Italy,2021-06-20,Moderna,4411913,47674,ITA
Italy,2021-06-20,Oxford/AstraZeneca,8344505,30311,ITA
Italy,2021-06-20,Pfizer/BioNTech,32588636,357784,ITA
Japan,2021-06-20,Moderna,801779,50485,JPN
Japan,2021-06-20,Pfizer/BioNTech,37679604,1067185,JPN
Latvia,2021-06-20,Johnson&Johnson,45006,661,LVA
Latvia,2021-06-20,Moderna,192934,706,LVA
Latvia,2021-06-20,Oxford/AstraZeneca,231733,69,LVA
Latvia,2021-06-20,Pfizer/BioNTech,574428,2064,LVA
Peru,2021-06-20,Oxford/AstraZeneca,526794,1281,PER
Peru,2021-06-20,Pfizer/BioNTech,5146582,31241,PER
Peru,2021-06-20,Sinopharm/Beijing,1040884,1086,PER
Romania,2021-06-20,Johnson&Johnson,251882,2328,ROU
Romania,2021-06-20,Moderna,701579,766,ROU
Romania,2021-06-20,Oxford/AstraZeneca,832498,571,ROU
Romania,2021-06-20,Pfizer/BioNTech,6941986,16680,ROU
South Korea,2021-06-20,Johnson&Johnson,1148414,447,KOR
South Korea,2021-06-20,Moderna,57382,175,KOR
South Korea,2021-06-20,Oxford/AstraZeneca,11167365,205,KOR
South Korea,2021-06-20,Pfizer/BioNTech,5722028,1867,KOR
Switzerland,2021-06-20,Moderna,4162254,16018,CHE
Switzerland,2021-06-20,Pfizer/BioNTech,2631885,4836,CHE
Ukraine,2021-06-20,Johnson&Johnson,390,0,UKR
Ukraine,2021-06-20,Oxford/AstraZeneca,1051084,640,UKR
Ukraine,2021-06-20,Pfizer/BioNTech,484352,1152,UKR
Ukraine,2021-06-20,Sinovac,550666,2598,UKR
United States,2021-06-20,Johnson&Johnson,11986595,55203,USA
United States,2021-06-20,Moderna,131213452,238560,USA
United States,2021-06-20,Pfizer/BioNTech,174521867,553525,USA
Uruguay,2021-06-20,Oxford/AstraZeneca,46623,13,URY
Uruguay,2021-06-20,Pfizer/BioNTech,856284,40,URY
Uruguay,2021-06-20,Sinovac,2652653,984,URY
Argentina,2021-06-21,Oxford/AstraZeneca,6346590,138302,ARG
Argentina,2021-06-21,Sinopharm/Beijing,3783168,1294,ARG
Argentina,2021-06-21,Sputnik V,8878913,30110,ARG
Chile,2021-06-21,Oxford/AstraZeneca,376616,125,CHL
Chile,2021-06-21,Pfizer/BioNTech,4043382,9738,CHL
Chile,2021-06-21,Sinovac,16907283,9861,CHL
Czechia,2021-06-21,Johnson&Johnson,80979,1435,CZE
Czechia,2021-06-21,Moderna,647072,9266,CZE
Czechia,2021-06-21,Oxford/AstraZeneca,691730,6458,CZE
Czechia,2021-06-21,Pfizer/BioNTech,6000141,92565,CZE
Czechia,2021-06-21,Sinopharm/Beijing,12,1,CZE
Czechia,2021-06-21,Sinovac,43,1,CZE
Ecuador,2021-06-21,Oxford/AstraZeneca,951744,43227,ECU
Ecuador,2021-06-21,Pfizer/BioNTech,1637969,8522,ECU
Ecuador,2021-06-21,Sinovac,1642717,15423,ECU
France,2021-06-21,Johnson&Johnson,519667,5117,FRA
France,2021-06-21,Moderna,4526123,60456,FRA
France,2021-06-21,Oxford/AstraZeneca,6418149,39896,FRA
France,2021-06-21,Pfizer/BioNTech,38299993,493049,FRA
Germany,2021-06-21,Johnson&Johnson,1792666,33940,DEU
Germany,2021-06-21,Moderna,5778861,97800,DEU
Germany,2021-06-21,Oxford/AstraZeneca,10728172,87234,DEU
Germany,2021-06-21,Pfizer/BioNTech,50466055,403001,DEU
Hong Kong,2021-06-21,Pfizer/BioNTech,1876240,26741,HKG
Hong Kong,2021-06-21,Sinovac,1390409,19262,HKG
Italy,2021-06-21,Johnson&Johnson,1202420,4871,ITA
Italy,2021-06-21,Moderna,4472518,60605,ITA
Italy,2021-06-21,Oxford/AstraZeneca,8396632,52127,ITA
Italy,2021-06-21,Pfizer/BioNTech,33030581,441945,ITA
Japan,2021-06-21,Moderna,911357,109578,JPN
Japan,2021-06-21,Pfizer/BioNTech,38985593,1305989,JPN
Latvia,2021-06-21,Johnson&Johnson,46524,1518,LVA
Latvia,2021-06-21,Moderna,194638,1704,LVA
Latvia,2021-06-21,Oxford/AstraZeneca,234760,3027,LVA
Latvia,2021-06-21,Pfizer/BioNTech,580588,6160,LVA
Latvia,2021-06-21,Sinopharm/Beijing,21,1,LVA
Peru,2021-06-21,Oxford/AstraZeneca,534185,7391,PER
Peru,2021-06-21,Pfizer/BioNTech,5242248,95666,PER
Peru,2021-06-21,Sinopharm/Beijing,1051058,10174,PER
Romania,2021-06-21,Johnson&Johnson,254214,2332,ROU
Romania,2021-06-21,Moderna,702241,662,ROU
Romania,2021-06-21,Oxford/AstraZeneca,833261,763,ROU
Romania,2021-06-21,Pfizer/BioNTech,6958269,16283,ROU
South Korea,2021-06-21,Johnson&Johnson,1152189,3775,KOR
South Korea,2021-06-21,Moderna,58408,1026,KOR
South Korea,2021-06-21,Oxford/AstraZeneca,11184338,16973,KOR
South Korea,2021-06-21,Pfizer/BioNTech,5862741,140713,KOR
Switzerland,2021-06-21,Moderna,4233587,71333,CHE
Switzerland,2021-06-21,Pfizer/BioNTech,2648876,16991,CHE
Ukraine,2021-06-21,Johnson&Johnson,390,0,UKR
Ukraine,2021-06-21,Oxford/AstraZeneca,1052423,1339,UKR
Ukraine,2021-06-21,Pfizer/BioNTech,487452,3100,UKR
Ukraine,2021-06-21,Sinovac,555193,4527,UKR
United States,2021-06-21,Johnson&Johnson,12015721,29126,USA
United States,2021-06-21,Moderna,131372107,158655,USA
United States,2021-06-21,Pfizer/BioNTech,174943983,422116,USA
Uruguay,2021-06-21,Oxford/AstraZeneca,46702,79,URY
Uruguay,2021-06-21,Pfizer/BioNTech,871619,15335,URY
Uruguay,2021-06-21,Sinovac,2689823,37170,URY
Argentina,2021-06-22,Oxford/AstraZeneca,6574069,227479,ARG
Argentina,2021-06-22,Pfizer/BioNTech,36,1,ARG
Argentina,2021-06-22,Sinopharm/Beijing,3789117,5949,ARG
Argentina,2021-06-22,Sputnik V,8933366,54453,ARG
Chile,2021-06-22,Oxford/AstraZeneca,378447,1831,CHL
Chile,2021-06-22,Pfizer/BioNTech,4206931,163549,CHL
Chile,2021-06-22,Sinovac,17047558,140275,CHL
Czechia,2021-06-22,Johnson&Johnson,82597,1618,CZE
Czechia,2021-06-22,Moderna,656577,9505,CZE
Czechia,2021-06-22,Oxford/AstraZeneca,700335,8605,CZE
Czechia,2021-06-22,Pfizer/BioNTech,6094138,93997,CZE
Czechia,2021-06-22,Sinovac,44,1,CZE
Ecuador,2021-06-22,Oxford/AstraZeneca,1001950,50206,ECU
Ecuador,2021-06-22,Pfizer/BioNTech,1645165,7196,ECU
Ecuador,2021-06-22,Sinovac,1654273,11556,ECU
France,2021-06-22,Johnson&Johnson,527608,7941,FRA
France,2021-06-22,Moderna,4604161,78038,FRA
France,2021-06-22,Oxford/AstraZeneca,6489281,71132,FRA
France,2021-06-22,Pfizer/BioNTech,38834828,534835,FRA
Germany,2021-06-22,Johnson&Johnson,1825263,32597,DEU
Germany,2021-06-22,Moderna,5874936,96075,DEU
Germany,2021-06-22,Oxford/AstraZeneca,10834915,106743,DEU
Germany,2021-06-22,Pfizer/BioNTech,51392509,926454,DEU
Hong Kong,2021-06-22,Pfizer/BioNTech,1897850,21610,HKG
Hong Kong,2021-06-22,Sinovac,1409797,19388,HKG
Italy,2021-06-22,Johnson&Johnson,1207651,5231,ITA
Italy,2021-06-22,Moderna,4557864,85346,ITA
Italy,2021-06-22,Oxford/AstraZeneca,8448220,51588,ITA
Italy,2021-06-22,Pfizer/BioNTech,33460912,430331,ITA
Japan,2021-06-22,Moderna,1027269,115912,JPN
Japan,2021-06-22,Pfizer/BioNTech,40327128,1341535,JPN
Latvia,2021-06-22,Johnson&Johnson,47814,1290,LVA
Latvia,2021-06-22,Moderna,196045,1407,LVA
Latvia,2021-06-22,Oxford/AstraZeneca,235797,1037,LVA
Latvia,2021-06-22,Pfizer/BioNTech,587115,6527,LVA
Peru,2021-06-22,Oxford/AstraZeneca,545666,11481,PER
Peru,2021-06-22,Pfizer/BioNTech,5362151,119903,PER
Peru,2021-06-22,Sinopharm/Beijing,1061999,10941,PER
Romania,2021-06-22,Johnson&Johnson,259466,5252,ROU
Romania,2021-06-22,Moderna,703401,1160,ROU
Romania,2021-06-22,Oxford/AstraZeneca,834099,838,ROU
Romania,2021-06-22,Pfizer/BioNTech,6974769,16500,ROU
South Korea,2021-06-22,Johnson&Johnson,1155177,2988,KOR
South Korea,2021-06-22,Moderna,59819,1411,KOR
South Korea,2021-06-22,Oxford/AstraZeneca,11204348,20010,KOR
South Korea,2021-06-22,Pfizer/BioNTech,6010745,148004,KOR
Switzerland,2021-06-22,Moderna,4310264,76677,CHE
Switzerland,2021-06-22,Pfizer/BioNTech,2664807,15931,CHE
Ukraine,2021-06-22,Johnson&Johnson,390,0,UKR
Ukraine,2021-06-22,Oxford/AstraZeneca,1075700,23277,UKR
Ukraine,2021-06-22,Pfizer/BioNTech,502416,14964,UKR
Ukraine,2021-06-22,Sinovac,570738,15545,UKR
United States,2021-06-22,Johnson&Johnson,12047571,31850,USA
United States,2021-06-22,Moderna,131557233,185126,USA
United States,2021-06-22,Pfizer/BioNTech,175373929,429946,USA
Uruguay,2021-06-22,Oxford/AstraZeneca,46784,82,URY
Uruguay,2021-06-22,Pfizer/BioNTech,886235,14616,URY
Uruguay,2021-06-22,Sinovac,2721720,31897,URY
Argentina,2021-06-23,Oxford/AstraZeneca,6767895,193826,ARG
Argentina,2021-06-23,Sinopharm/Beijing,3813460,24343,ARG
Argentina,2021-06-23,Sputnik V,8978362,44996,ARG
Chile,2021-06-23,Oxford/AstraZeneca,380719,2272,CHL
Chile,2021-06-23,Pfizer/BioNTech,4322468,115537,CHL
Chile,2021-06-23,Sinovac,17169182,121624,CHL
Czechia,2021-06-23,Johnson&Johnson,84405,1808,CZE
Czechia,2021-06-23,Moderna,667582,11005,CZE
Czechia,2021-06-23,Oxford/AstraZeneca,708779,8444,CZE
Czechia,2021-06-23,Pfizer/BioNTech,6188101,93963,CZE
Czechia,2021-06-23,Sinovac,45,1,CZE
Ecuador,2021-06-23,Oxford/AstraZeneca,1057875,55925,ECU
Ecuador,2021-06-23,Pfizer/BioNTech,1653547,8382,ECU
Ecuador,2021-06-23,Sinovac,1664454,10181,ECU
France,2021-06-23,Johnson&Johnson,534749,7141,FRA
France,2021-06-23,Moderna,4675644,71483,FRA
France,2021-06-23,Oxford/AstraZeneca,6541100,51819,FRA
France,2021-06-23,Pfizer/BioNTech,39379609,544781,FRA
Germany,2021-06-23,Johnson&Johnson,1862187,36924,DEU
Germany,2021-06-23,Moderna,5971441,96505,DEU
Germany,2021-06-23,Oxford/AstraZeneca,10955300,120385,DEU
Germany,2021-06-23,Pfizer/BioNTech,52563928,1171419,DEU
Hong Kong,2021-06-23,Pfizer/BioNTech,1920615,22765,HKG
Hong Kong,2021-06-23,Sinovac,1427716,17919,HKG
Italy,2021-06-23,Johnson&Johnson,1213329,5678,ITA
Italy,2021-06-23,Moderna,4644888,87024,ITA
Italy,2021-06-23,Oxford/AstraZeneca,8502299,54079,ITA
Italy,2021-06-23,Pfizer/BioNTech,33883379,422467,ITA
Japan,2021-06-23,Moderna,1154601,127332,JPN
Japan,2021-06-23,Pfizer/BioNTech,41709082,1381954,JPN
Latvia,2021-06-23,Johnson&Johnson,47942,128,LVA
Latvia,2021-06-23,Moderna,196087,42,LVA
Latvia,2021-06-23,Oxford/AstraZeneca,235809,12,LVA
Latvia,2021-06-23,Pfizer/BioNTech,587313,198,LVA
Peru,2021-06-23,Oxford/AstraZeneca,554404,8738,PER
Peru,2021-06-23,Pfizer/BioNTech,5472658,110507,PER
Peru,2021-06-23,Sinopharm/Beijing,1072195,10196,PER
Romania,2021-06-23,Johnson&Johnson,265692,6226,ROU
Romania,2021-06-23,Moderna,704552,1151,ROU
Romania,2021-06-23,Oxford/AstraZeneca,834913,814,ROU
Romania,2021-06-23,Pfizer/BioNTech,6992664,17895,ROU
South Korea,2021-06-23,Johnson&Johnson,1156709,1532,KOR
South Korea,2021-06-23,Moderna,63232,3413,KOR
South Korea,2021-06-23,Oxford/AstraZeneca,11222438,18090,KOR
South Korea,2021-06-23,Pfizer/BioNTech,6152002,141257,KOR
Switzerland,2021-06-23,Moderna,4385801,75537,CHE
Switzerland,2021-06-23,Pfizer/BioNTech,2679557,14750,CHE
Ukraine,2021-06-23,Johnson&Johnson,390,0,UKR
Ukraine,2021-06-23,Oxford/AstraZeneca,1099804,24104,UKR
Ukraine,2021-06-23,Pfizer/BioNTech,537529,35113,UKR
Ukraine,2021-06-23,Sinovac,591446,20708,UKR
United States,2021-06-23,Johnson&Johnson,12090161,42590,USA
United States,2021-06-23,Moderna,131761409,204176,USA
United States,2021-06-23,Pfizer/BioNTech,175773690,399761,USA
Uruguay,2021-06-23,Oxford/AstraZeneca,46853,69,URY
Uruguay,2021-06-23,Pfizer/BioNTech,900188,13953,URY
Uruguay,2021-06-23,Sinovac,2750538,28818,URY
Argentina,2021-06-24,Oxford/AstraZeneca,6943030,175135,ARG
Argentina,2021-06-24,Sinopharm/Beijing,3886618,73158,ARG
Argentina,2021-06-24,Sputnik V,9034610,56248,ARG
Chile,2021-06-24,Oxford/AstraZeneca,384177,3458,CHL
Chile,2021-06-24,Pfizer/BioNTech,4408717,86249,CHL
Chile,2021-06-24,Sinovac,17269363,100181,CHL
Czechia,2021-06-24,Johnson&Johnson,86231,1826,CZE
Czechia,2021-06-24,Moderna,677487,9905,CZE
Czechia,2021-06-24,Oxford/AstraZeneca,716972,8193,CZE
Czechia,2021-06-24,Pfizer/BioNTech,6286328,98227,CZE
Czechia,2021-06-24,Sinovac,47,2,CZE
Ecuador,2021-06-24,Oxford/AstraZeneca,1111340,53465,ECU
Ecuador,2021-06-24,Pfizer/BioNTech,1675064,21517,ECU
Ecuador,2021-06-24,Sinovac,1673986,9532,ECU
France,2021-06-24,Johnson&Johnson,543448,8699,FRA
France,2021-06-24,Moderna,4754435,78791,FRA
France,2021-06-24,Oxford/AstraZeneca,6619660,78560,FRA
France,2021-06-24,Pfizer/BioNTech,39866341,486732,FRA
Germany,2021-06-24,Johnson&Johnson,1904191,42004,DEU
Germany,2021-06-24,Moderna,6058981,87540,DEU
Germany,2021-06-24,Oxford/AstraZeneca,11069057,113757,DEU
Germany,2021-06-24,Pfizer/BioNTech,53357513,793585,DEU
Hong Kong,2021-06-24,Pfizer/BioNTech,1948121,27506,HKG
Hong Kong,2021-06-24,Sinovac,1446634,18918,HKG
Italy,2021-06-24,Johnson&Johnson,1218824,5495,ITA
Italy,2021-06-24,Moderna,4696865,51977,ITA
Italy,2021-06-24,Oxford/AstraZeneca,8547427,45128,ITA
Italy,2021-06-24,Pfizer/BioNTech,34393624,510245,ITA
Japan,2021-06-24,Moderna,1271150,116549,JPN
Japan,2021-06-24,Pfizer/BioNTech,43077954,1368872,JPN
Latvia,2021-06-24,Johnson&Johnson,47957,15,LVA
Latvia,2021-06-24,Moderna,196109,22,LVA
Latvia,2021-06-24,Oxford/AstraZeneca,235818,9,LVA
Latvia,2021-06-24,Pfizer/BioNTech,587391,78,LVA
Peru,2021-06-24,Oxford/AstraZeneca,563091,8687,PER
Peru,2021-06-24,Pfizer/BioNTech,5538420,65762,PER
Peru,2021-06-24,Sinopharm/Beijing,1084212,12017,PER
Romania,2021-06-24,Johnson&Johnson,271845,6153,ROU
Romania,2021-06-24,Moderna,705710,1158,ROU
Romania,2021-06-24,Oxford/AstraZeneca,835580,667,ROU
Romania,2021-06-24,Pfizer/BioNTech,7010285,17621,ROU
South Korea,2021-06-24,Johnson&Johnson,1157535,826,KOR
South Korea,2021-06-24,Moderna,67083,3851,KOR
South Korea,2021-06-24,Oxford/AstraZeneca,11238570,16132,KOR
South Korea,2021-06-24,Pfizer/BioNTech,6285435,133433,KOR
Switzerland,2021-06-24,Moderna,4459699,73898,CHE
Switzerland,2021-06-24,Pfizer/BioNTech,2694471,14914,CHE
Ukraine,2021-06-24,Johnson&Johnson,390,0,UKR
Ukraine,2021-06-24,Oxford/AstraZeneca,1121518,21714,UKR
Ukraine,2021-06-24,Pfizer/BioNTech,584630,47101,UKR
Ukraine,2021-06-24,Sinovac,618807,27361,UKR
United States,2021-06-24,Johnson&Johnson,12139564,49403,USA
United States,2021-06-24,Moderna,132013506,252097,USA
United States,2021-06-24,Pfizer/BioNTech,176285416,511726,USA
Uruguay,2021-06-24,Oxford/AstraZeneca,46947,94,URY
Uruguay,2021-06-24,Pfizer/BioNTech,914108,13920,URY
Uruguay,2021-06-24,Sinovac,2778887,28349,URY
Argentina,2021-06-25,CanSino,8,1,ARG
Argentina,2021-06-25,Oxford/AstraZeneca,7162644,219614,ARG
Argentina,2021-06-25,Pfizer/BioNTech,38,2,ARG
Argentina,2021-06-25,Sinopharm/Beijing,3996469,109851,ARG
Argentina,2021-06-25,Sputnik V,9081947,47337,ARG
Austria,2021-06-25,Johnson&Johnson,107961,9000,AUT
Austria,2021-06-25,Moderna,754478,56744,AUT
Austria,2021-06-25,Oxford/AstraZeneca,1286134,73865,AUT
Austria,2021-06-25,Pfizer/BioNTech,5523668,478364,AUT
Belgium,2021-06-25,Johnson&Johnson,249245,33036,BEL
Belgium,2021-06-25,Moderna,965855,113375,BEL
Belgium,2021-06-25,Oxford/AstraZeneca,1971741,69794,BEL
Belgium,2021-06-25,Pfizer/BioNTech,7528614,696428,BEL
Bulgaria,2021-06-25,Johnson&Johnson,33133,7173,BGR
Bulgaria,2021-06-25,Moderna,225764,9315,BGR
Bulgaria,2021-06-25,Oxford/AstraZeneca,471006,3123,BGR
Bulgaria,2021-06-25,Pfizer/BioNTech,998035,47874,BGR
Chile,2021-06-25,Oxford/AstraZeneca,388242,4065,CHL
Chile,2021-06-25,Pfizer/BioNTech,4481568,72851,CHL
Chile,2021-06-25,Sinovac,17353774,84411,CHL
Croatia,2021-06-25,Johnson&Johnson,23038,2147,HRV
Croatia,2021-06-25,Moderna,274485,11163,HRV
Croatia,2021-06-25,Oxford/AstraZeneca,488012,10349,HRV
Croatia,2021-06-25,Pfizer/BioNTech,1797232,129602,HRV
Cyprus,2021-06-25,Johnson&Johnson,14120,1227,CYP
Cyprus,2021-06-25,Moderna,70093,6991,CYP
Cyprus,2021-06-25,Oxford/AstraZeneca,204489,7421,CYP
Cyprus,2021-06-25,Pfizer/BioNTech,502831,21172,CYP
Czechia,2021-06-25,Johnson&Johnson,87938,1707,CZE
Czechia,2021-06-25,Moderna,686606,9119,CZE
Czechia,2021-06-25,Oxford/AstraZeneca,723020,6048,CZE
Czechia,2021-06-25,Pfizer/BioNTech,6385130,98802,CZE
Czechia,2021-06-25,Sinovac,48,1,CZE
Denmark,2021-06-25,Johnson&Johnson,42758,3545,DNK
Denmark,2021-06-25,Moderna,425425,37860,DNK
Denmark,2021-06-25,Oxford/AstraZeneca,153951,154,DNK
Denmark,2021-06-25,Pfizer/BioNTech,4286819,369946,DNK
Ecuador,2021-06-25,Oxford/AstraZeneca,1161756,50416,ECU
Ecuador,2021-06-25,Pfizer/BioNTech,1686491,11427,ECU
Ecuador,2021-06-25,Sinovac,1681930,7944,ECU
Estonia,2021-06-25,Johnson&Johnson,20494,1498,EST
Estonia,2021-06-25,Moderna,91260,3855,EST
Estonia,2021-06-25,Oxford/AstraZeneca,227224,7125,EST
Estonia,2021-06-25,Pfizer/BioNTech,625161,19892,EST
Finland,2021-06-25,Moderna,385440,25374,FIN
Finland,2021-06-25,Oxford/AstraZeneca,439029,12865,FIN
Finland,2021-06-25,Pfizer/BioNTech,3398403,224306,FIN
France,2021-06-25,Johnson&Johnson,553661,10213,FRA
France,2021-06-25,Moderna,4848386,93951,FRA
France,2021-06-25,Oxford/AstraZeneca,6711595,91935,FRA
France,2021-06-25,Pfizer/BioNTech,40421969,555628,FRA
Germany,2021-06-25,Johnson&Johnson,1945426,41235,DEU
Germany,2021-06-25,Moderna,6135363,76382,DEU
Germany,2021-06-25,Oxford/AstraZeneca,11175009,105952,DEU
Germany,2021-06-25,Pfizer/BioNTech,54032145,674632,DEU
Hong Kong,2021-06-25,Pfizer/BioNTech,1983570,35449,HKG
Hong Kong,2021-06-25,Sinovac,1469126,22492,HKG
Hungary,2021-06-25,Johnson&Johnson,96881,4977,HUN
Hungary,2021-06-25,Moderna,650048,30056,HUN
Hungary,2021-06-25,Oxford/AstraZeneca,1066788,39098,HUN
Hungary,2021-06-25,Pfizer/BioNTech,4483058,303636,HUN
Hungary,2021-06-25,Sinopharm/Beijing,2035373,16589,HUN
Hungary,2021-06-25,Sputnik V,1783131,5070,HUN
Ireland,2021-06-25,Johnson&Johnson,78275,4345,IRL
Ireland,2021-06-25,Moderna,356704,39286,IRL
Ireland,2021-06-25,Oxford/AstraZeneca,917481,109703,IRL
Ireland,2021-06-25,Pfizer/BioNTech,2844313,220251,IRL
Italy,2021-06-25,Johnson&Johnson,1223896,5072,ITA
Italy,2021-06-25,Moderna,4746962,50097,ITA
Italy,2021-06-25,Oxford/AstraZeneca,8607229,59802,ITA
Italy,2021-06-25,Pfizer/BioNTech,34896936,503312,ITA
Japan,2021-06-25,Moderna,1401294,130144,JPN
Japan,2021-06-25,Pfizer/BioNTech,44434510,1356556,JPN
Latvia,2021-06-25,Johnson&Johnson,48285,328,LVA
Latvia,2021-06-25,Moderna,197389,1280,LVA
Latvia,2021-06-25,Oxford/AstraZeneca,235964,146,LVA
Latvia,2021-06-25,Pfizer/BioNTech,588673,1282,LVA
Liechtenstein,2021-06-25,Moderna,20910,1108,LIE
Liechtenstein,2021-06-25,Pfizer/BioNTech,10747,418,LIE
Lithuania,2021-06-25,Johnson&Johnson,45314,2319,LTU
Lithuania,2021-06-25,Moderna,199061,7167,LTU
Lithuania,2021-06-25,Oxford/AstraZeneca,422873,22262,LTU
Lithuania,2021-06-25,Pfizer/BioNTech,1505380,90999,LTU
Luxembourg,2021-06-25,Johnson&Johnson,26403,8661,LUX
Luxembourg,2021-06-25,Moderna,48309,5106,LUX
Luxembourg,2021-06-25,Oxford/AstraZeneca,87467,1877,LUX
Luxembourg,2021-06-25,Pfizer/BioNTech,344697,27730,LUX
Malta,2021-06-25,Johnson&Johnson,13500,1165,MLT
Malta,2021-06-25,Moderna,40809,3507,MLT
Malta,2021-06-25,Oxford/AstraZeneca,203106,8935,MLT
Malta,2021-06-25,Pfizer/BioNTech,413535,8478,MLT
Netherlands,2021-06-25,Johnson&Johnson,463874,69100,NLD
Netherlands,2021-06-25,Moderna,1135759,118363,NLD
Netherlands,2021-06-25,Oxford/AstraZeneca,2038753,180175,NLD
Netherlands,2021-06-25,Pfizer/BioNTech,10578491,1058816,NLD
Norway,2021-06-25,Johnson&Johnson,3111,793,NOR
Norway,2021-06-25,Moderna,454816,41264,NOR
Norway,2021-06-25,Oxford/AstraZeneca,145662,353,NOR
Norway,2021-06-25,Pfizer/BioNTech,3453458,325097,NOR
Peru,2021-06-25,Oxford/AstraZeneca,570790,7699,PER
Peru,2021-06-25,Pfizer/BioNTech,5649184,110764,PER
Peru,2021-06-25,Sinopharm/Beijing,1093647,9435,PER
Poland,2021-06-25,Johnson&Johnson,918735,65190,POL
Poland,2021-06-25,Moderna,2872592,177748,POL
Poland,2021-06-25,Oxford/AstraZeneca,4600015,416266,POL
Poland,2021-06-25,Pfizer/BioNTech,19689476,1105854,POL
Portugal,2021-06-25,Covaxin,46,8,PRT
Portugal,2021-06-25,Johnson&Johnson,274177,45292,PRT
Portugal,2021-06-25,Moderna,850022,76765,PRT
Portugal,2021-06-25,Novavax,48,3,PRT
Portugal,2021-06-25,Oxford/AstraZeneca,1531526,95482,PRT
Portugal,2021-06-25,Pfizer/BioNTech,5879793,512382,PRT
Portugal,2021-06-25,Sinopharm/Beijing,1186,135,PRT
Portugal,2021-06-25,Sinovac,2741,130,PRT
Romania,2021-06-25,Johnson&Johnson,277980,6135,ROU
Romania,2021-06-25,Moderna,706820,1110,ROU
Romania,2021-06-25,Oxford/AstraZeneca,836202,622,ROU
Romania,2021-06-25,Pfizer/BioNTech,7028146,17861,ROU
Slovakia,2021-06-25,Johnson&Johnson,233,112,SVK
Slovakia,2021-06-25,Moderna,364646,23243,SVK
Slovakia,2021-06-25,Oxford/AstraZeneca,755669,48130,SVK
Slovakia,2021-06-25,Pfizer/BioNTech,2402314,162155,SVK
Slovakia,2021-06-25,Sputnik V,11528,3651,SVK
Slovenia,2021-06-25,Johnson&Johnson,46922,3210,SVN
Slovenia,2021-06-25,Moderna,155570,10304,SVN
Slovenia,2021-06-25,Oxford/AstraZeneca,288637,8626,SVN
Slovenia,2021-06-25,Pfizer/BioNTech,922530,42882,SVN
South Korea,2021-06-25,Johnson&Johnson,1158200,665,KOR
South Korea,2021-06-25,Moderna,77374,10291,KOR
South Korea,2021-06-25,Oxford/AstraZeneca,11254770,16200,KOR
South Korea,2021-06-25,Pfizer/BioNTech,6420630,135195,KOR
Spain,2021-06-25,Johnson&Johnson,1224830,165043,ESP
Spain,2021-06-25,Moderna,3832952,328059,ESP
Spain,2021-06-25,Oxford/AstraZeneca,6961455,746460,ESP
Spain,2021-06-25,Pfizer/BioNTech,28502412,2504114,ESP
Sweden,2021-06-25,Moderna,762652,55503,SWE
Sweden,2021-06-25,Oxford/AstraZeneca,1180241,106305,SWE
Sweden,2021-06-25,Pfizer/BioNTech,6042366,475798,SWE
Switzerland,2021-06-25,Moderna,4530511,70812,CHE
Switzerland,2021-06-25,Pfizer/BioNTech,2711588,17117,CHE
Ukraine,2021-06-25,Johnson&Johnson,390,0,UKR
Ukraine,2021-06-25,Oxford/AstraZeneca,1141297,19779,UKR
Ukraine,2021-06-25,Pfizer/BioNTech,631236,46606,UKR
Ukraine,2021-06-25,Sinovac,649552,30745,UKR
United States,2021-06-25,Johnson&Johnson,12169305,29741,USA
United States,2021-06-25,Moderna,132058604,45098,USA
United States,2021-06-25,Pfizer/BioNTech,176721071,435655,USA
Uruguay,2021-06-25,Oxford/AstraZeneca,47094,147,URY
Uruguay,2021-06-25,Pfizer/BioNTech,928200,14092,URY
Uruguay,2021-06-25,Sinovac,2803909,25022,URY
Argentina,2021-06-26,Oxford/AstraZeneca,7355840,193196,ARG
